,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
ELP,Ellerium,XEVAN,TRUE,PoW/PoS,419275.38,60000000
DUB,DubCoin,X15,TRUE,PoW/PoS,,0
DUCK,DuckDuckCoin,Scrypt,TRUE,PoW,,121
DUX,DuxCoin,Scrypt,TRUE,PoW/PoS,,1680000000
BASH,LuckChain,Scrypt,TRUE,PoW/PoS,0,1000000000
DYN,Dynamic,Argon2d,TRUE,PoW,19784224.65,0
EMAR,EmaratCoin,Scrypt,TRUE,PoW/PoS,21599339.67,84000000
EA,EagleCoin,SHA-256,TRUE,PoW,,40000000
EAGS,EagsCoin,X11,TRUE,PoW/PoS,,20445500
EMB,EmberCoin,X13,TRUE,PoW/PoS,92192822723,850000000
EMC,Emercoin,SHA-256,TRUE,PoW/PoS,43059794.8,1000000000
MMXIV,MaieutiCoin,SHA-256,TRUE,PoS,0,2014
EMC2,Einsteinium,Scrypt,TRUE,PoW,218871896.5,299792458
MAPC,MapCoin,X11,TRUE,PoS,0,2228921.184
ECOC,ECOcoin,Scrypt,TRUE,PoW/PoS,,10733333
MARX,MarxCoin,X11,TRUE,PoW,0,100640000
MARYJ,MaryJane Coin,X15,TRUE,PoW/PoS,0,0
EDC,EDC Blockchain,SHA-256,TRUE,DPoS/LPoS,,5352058722
EDDIE,Eddie coin,Scrypt,TRUE,PoW/PoS,,1000000000
MTR,MasterTraderCoin,X11,TRUE,PoW/PoS,0,10110000
EMD,Emerald,Scrypt,TRUE,PoW,19496786.31,32000000
EDUC,EducoinV,Scrypt,TRUE,PoW/PoS,,99000000
MPT,Media Protocol Token,Ethash,FALSE,PoW,10000000000,10000000000
EGG,EggCoin,Scrypt,TRUE,PoW/PoS,,3891
NRO,Neuro,SHA-256,FALSE,PoW/PoS,,20000000
EGO,EGOcoin,PoS,TRUE,PoS,,60000000
ENT,Eternity,X11,TRUE,PoW/PoS,6069482.077,60000000
MIL,Milllionaire Coin,X11,TRUE,PoW/PoS,0,0
EQT,EquiTrader,Scrypt,TRUE,PoW,13673406.43,72000000
ERC,EuropeCoin,X11,TRUE,PoW/PoS,10407269.79,384000000
EKN,Elektron,X13,TRUE,PoW/PoS,,3000000
ESP,Espers,536,TRUE,PoW/PoS,22801882871,50000000000
ETC,Ethereum Classic,Ethash,TRUE,PoW,113359703,210000000
CRDNC,Credence Coin,SHA-256,FALSE,PoW/PoS,3427006,25000000
MANNA,Manna,SHA-256,FALSE,PoW,2360478329,10044655076
ELIC,Elicoin,YescryptR16,TRUE,PoW,,10000000
ETHD,Ethereum Dark,Scrypt,TRUE,PoW/PoS,4200000,4200000
EUC,Eurocoin,SHA-256,TRUE,PoW/PoS,12416554,20000000
MBLC,Mont Blanc,Scrypt,TRUE,PoS,0,70000000
EUNO,EUNO,X11,TRUE,PoW/PoS,30771125.98,50000000
ELS,Elysium,Scrypt,TRUE,PoW,,18000000
EXO,Exosis,Exosis,TRUE,PoW,406091.925,21000000
EXP,Expanse,Ethash,TRUE,PoW,10495278,16906397
MUSD,MUSDcoin,Scrypt,TRUE,PoW/PoS,0,100000000
FIII,Fiii,SHA3-256,TRUE,DPoC,-5917977548,5000000000
MUSIC,Musicoin,Ethash,TRUE,PoW,0,454898394
FIND,FindCoin,X13,TRUE,PoS,14524851.48,14524851.48
MUT,Mutual Coin,Scrypt,FALSE,PoW/PoS,0,1000000000
EPY,Empyrean,Scrypt,TRUE,PoW,,100000
ENRG,EnergyCoin,Scrypt,TRUE,PoW/PoS,123062801.1,0
FLDC,Folding Coin,Stanford Folding,TRUE,PoW,719416990,1000000000
EOS,EOS,DPoS,TRUE,DPoS,1020544523,0
RAIZER,RAIZER,SHA-256,FALSE,PoW,,1000000000
Z2,Z2 Coin,SHA-256,FALSE,PoW,,11000000
EQUAL,EqualCoin,X13,TRUE,PoW/PoS,,1000000000
EQM,Equilibrium Coin,SHA-256,TRUE,PoW/PoS,,0
FLIP,BitFlip,Scrypt,TRUE,PoW,12446100,40000000
OPSC,OpenSourceCoin,SHA-256,FALSE,PoW/PoS,,21000000
ERR,ErrorCoin,Scrypt,TRUE,PoW,,81000000
ADNT,Aiden,ScryptOG,FALSE,PoW,84000000,84000000
ESBC,ESBC,Quark,TRUE,PoS,,30000000
FLO,Flo,Scrypt,TRUE,PoW,152270664.9,160000000
NTCC,NeptuneClassic,X11,TRUE,PoW/PoS,0,250000000
FRAZ,FrazCoin,Scrypt,TRUE,PoW,9704042,20000000
DOGETH,EtherDoge,X11,TRUE,PoW/PoS,,18100000
ETH,Ethereum,Ethash,TRUE,PoW,107684222.7,0
FRE,FreeCoin,PoS,TRUE,PoS,50000000,50000000
FRED,FREDEnergy,CryptoNight,TRUE,PoW,1867054873,8080000000
NIX,NIX,Lyra2REv2,TRUE,PoW,0,175000000
FRK,Franko,Scrypt,TRUE,PoW,1142732.149,11235813
NRB,NoirBits,SHA-256,TRUE,PoW,0,50000000
FRN,Francs,Scrypt,TRUE,PoW,6570807.657,20000000
NPC,NPCcoin,SHA-256D,TRUE,PoW/PoS,0,7000000000
FRST,FirstCoin,Scrypt,TRUE,PoW/PoS ,110000000,110000000
EVENT,Event Token,Scrypt,TRUE,PoW/PoS,,0
FRWC,Frankywillcoin,Scrypt,TRUE,PoW/PoS,100000000,100000000
EVIL,EvilCoin,X11,TRUE,PoW/PoS,,21024000
OTX,Octanox,X11,TRUE,PoW/PoS,0,7905634
EXB,ExaByte (EXB),SHA-256,TRUE,PoW,,500000000
EXCL,Exclusive Coin,PoS,TRUE,PoS,5679705,0
EXE,ExeCoin,Scrypt,TRUE,PoW,,21000000
EXIT,ExitCoin,Scrypt,TRUE,PoW/PoS,,756000000
FSC,FriendshipCoin,NeoScrypt,TRUE,PoW/PoS,1120385.005,60168145
FTC,FeatherCoin,NeoScrypt,TRUE,PoW,208669093,336000000
OPC,OP Coin,Scrypt,TRUE,PoW/PoS,0,2000000000
EZC,EZCoin,Scrypt,TRUE,PoW,,84000000
FAIR,FairCoin,Groestl,TRUE,PoW/PoS,53193831,0
FAME,FameCoin,QuBit,TRUE,PoW/PoS,,50000000
FX,FCoin,Scrypt,TRUE,PoW/PoS,,987600000
ORLY,OrlyCoin,X15,TRUE,PoW/PoS,0,36000000
FTO,FuturoCoin,X11,TRUE,PoW,31801461.19,100000000
TIPS,FedoraCoin,Scrypt,TRUE,PoW,,5.00E+11
GAKH,GAKHcoin,Scrypt,TRUE,PoW/PoS,3315789,3315789
GALI,Galilel,Quark,TRUE,PoW/PoS,18265011.25,19035999
DUO,ParallelCoin,Scrypt,TRUE,PoW,0,1000000
PKB,ParkByte,SHA-256,TRUE,PoW/PoS,0,25000000
FFC,FireflyCoin,SHA-256,TRUE,PoW,,7.00E+11
GAME,Gamecredits,Scrypt,TRUE,PoW,69836100,84000000
FIT,Fitcoin,X11,TRUE,PoW/PoS,,90000000
FLX,Flash,Scrypt,TRUE,PoW/PoS,,1000000
GAP,Gapcoin,Scrypt,TRUE,PoW/PoS,14931046.15,250000000
FLT,FlutterCoin,Scrypt,TRUE,PoS/PoW/PoT,461829905.3,0
GB,GoldBlocks,X11,TRUE,PoW/PoS,15563873,50000000
PXL,Phalanx,SHA-256,TRUE,PoW,0,15000000
FNO,Fonero,PHI1612,TRUE,PoW,,18400000
XFC,Forever Coin,X11,TRUE,PoS,,210000000
FOREX,FOREXCOIN,Scrypt,TRUE,PoW,,1000000000
FRAC,FractalCoin,X11,TRUE,PoW,,1000000
GBX,GoByte,NeoScrypt,TRUE,PoW,5832306.875,31800000
GCN,gCn Coin,Scrypt,TRUE,PoW,1.63E+11,2.00E+11
GDC,GrandCoin,Scrypt,TRUE,PoW,884125802,1420609614
GEN,Genstake,Scrypt,TRUE,PoW/PoS,60000000,15000000
FSTC,FastCoin,Scrypt,FALSE,PoW,,165888000
GER,GermanCoin,Scrypt,TRUE,PoW/PoS,4911500269,50000000000
FGZ,Free Game Zone,Scrypt,TRUE,PoW,,44775520
GIC,Giant,Quark,TRUE,PoW/PoS,5919489.768,5151000
GIN,GINcoin,Lyra2Z,TRUE,PoW,6986399.704,10500000
FUTC,FutCoin,X13,TRUE,PoW/PoS,,0
FTP,FuturePoints,X11,TRUE,PoS,,360000000
GLC,GlobalCoin,Scrypt,TRUE,PoW,65672720.47,70000000
FUZZ,Fuzzballs,Scrypt,TRUE,PoW,,21000000
GAIA,GAIA Platform,X11,TRUE,PoS,,24000000
GLD,GoldCoin,Scrypt,TRUE,PoW,41658648,72245700
POKER,PokerCoin,Scrypt,FALSE,PoS/PoW,0,466666667
ORE,Galactrum,Lyra2REv2,TRUE,PoW/PoS,,26280000
GLX,GalaxyCoin,Scrypt,TRUE,PoW/PoS,,538214400
GLT,GlobalToken,SHA-256,TRUE,PoW,84613100,168000000
GNJ,GanjaCoin V2,X14,TRUE,PoW/PoS,100000000,100000000
GML,GameLeagueCoin,Scrypt,TRUE,PoW/PoS,,500000000
GPU,GPU Coin,Scrypt,TRUE,PoS,40477042,221052632
PHC,Profit Hunters Coin,Scrypt,TRUE,PoW/PoS,0,100000000
GRE,GreenCoin,Scrypt,TRUE,PoW,4610340641,10000000000
GRS,Groestlcoin,Groestl,TRUE,PoW,73298203.89,105000000
GRW,GrowthCoin,Scrypt,TRUE,PoS,295135466.4,2000000000
PROUD,PROUD Money,X11,TRUE,PoW/PoS,0,10000000000
GENX,Genesis Network,Equihash,TRUE,PoW,,4100000000
PURE,Pure,X11,TRUE,PoW/PoS,0,3686860
GUN,GunCoin,NeoScrypt,TRUE,PoW,299797953,500000000
HALLO,Halloween Coin,X11,TRUE,PoW/PoS,264678458.3,1500000000
SPKTR,Ghost Coin,SHA-256,TRUE,PoW/PoS,,2270000
GHC,GhostCoin,Scrypt,TRUE,PoW/PoS,,750000000
HBN,HoboNickels,Scrypt,TRUE,PoW/PoS,89266933.68,120000000
GIFT,GiftNet,X13,TRUE,PoW,,6750000
QCN,Quazar Coin,CryptoNight,TRUE,PoW,0,18446744
QSLV,Quicksilver coin,X11,TRUE,PoW,0,33000000
GIG,GigCoin,X11,TRUE,PoW,,0
HERB,HerbCoin,Quark,TRUE,PoW/PoS,35312185.74,54000000
GIVE,GiveCoin,X11,TRUE,PoW,,500000000
HEX,HexCoin,Scrypt,TRUE,PoW,1416663.066,22105263
REDN,Reden,X16S,FALSE,PoW,0,14000000
REE,ReeCoin,Scrypt,TRUE,PoW/PoS,0,350000000
HODL,HOdlcoin,1GB AES Pattern Search,TRUE,PoW,11448949,81962100
HPC,HappyCoin,X11,TRUE,PoW/PoS,21521322.01,100000000
HTC,Hitcoin,X11,TRUE,PoW/PoS,10996318099,26550000000
HTML5,HTML5 Coin,X15,TRUE,PoW/PoS,40659020000,90000000000
GMX,Goldmaxcoin,Scrypt,TRUE,PoW,,84078950
RIDE,Ride My Car,PoS,TRUE,PoS,0,100000000
HWC,HollyWoodCoin,Scrypt,TRUE,PoS,38706809.47,26000000
RIPO,RipOffCoin,Scrypt,TRUE,PoW,0,12000000
GOON,Goonies,Scrypt,TRUE,PoW,,270875968
GOTX,GothicCoin,Scrypt,TRUE,PoW,,313333333
RUPX,Rupaya,Quark,TRUE,PoS,0,75000000
XCSH,Xcash,Scrypt,FALSE,PoW/PoS,,2400000
HXX,HexxCoin,Lyra2RE,TRUE,PoW,1876146.444,9999999
GRFT,Graft Blockchain,CryptoNight,TRUE,PoW/PoS,,1844674400
I0C,I0coin,SHA-256,TRUE,PoW,20997476.87,21000000
XSTC,Safe Trade Coin,Scrypt,TRUE,PoS,0,840000000
GRAV,Graviton,SHA-256,TRUE,PoW/PoS,,0
SAFE,SafeCoin,Zhash,TRUE,PoW/PoS,0,36000000
GBIT,GravityBit,Scrypt,TRUE,PoW/PoS,,5333000
SKR,Sakuracoin,Scrypt,TRUE,PoW,0,105100000
IBANK,iBankCoin,Scrypt,TRUE,PoW/PoS,4526324,44333333
SCRT,SecretCoin,X11,TRUE,PoW/PoS,0,21000000
SRC,SecureCoin,Scrypt,TRUE,PoW,0,21000000
IC,Ignition,Scrypt,TRUE,PoW/PoS,1182153.5,5000000
IFC,Infinite Coin,Scrypt,TRUE,PoW,90595753019,90600000000
GSM,GSM Coin,X11,TRUE,PoW/PoS,,1800000
GCC,GuccioneCoin,Scrypt,TRUE,PoW,,39760000
SHLD,ShieldCoin,X15,TRUE,PoW/PoS,0,1000000
GUE,GuerillaCoin,X11,TRUE,PoW/PoS,,19500000
ILC,ILCoin,SHA-256,TRUE,PoW,1317747500,2500000000
IMPCH,Impeach,Scrypt,TRUE,PoW/PoS,308179,21933333
SGL,Sigil,NeoScrypt,FALSE,PoW,0,50000000
IMS,Independent Money System,Scrypt,TRUE,PoW/PoS,5368934,21212121
SILK,SilkCoin,Scrypt,TRUE,PoW/PoS,0,1000000
SIGU,Singular,Scrypt,TRUE,PoW/PoS,0,0
SKC,Skeincoin,Skein,TRUE,PoW,0,17000000
HAMS,HamsterCoin,Scrypt,TRUE,PoW,,20000000
SLING,Sling Coin,SHA-256,TRUE,PoW,0,1000000
RBTC,Smart Bitcoin,SHA-256,TRUE,PoW,0,20999764
IMX,Impact,X11,TRUE,PoW/PoS,110630387.9,110000000
HCC,HappyCreatorCoin ,Scrypt,TRUE,PoW,,1.00E+11
HMN,Harvest Masternode Coin,Scrypt,TRUE,PoW/PoS,,10000000
XSG,Snowgem,Equihash,TRUE,PoW,0,84096000
HAZE,HazeCoin,Scrypt,TRUE,PoW,,25000000
XBOT,SocialXbotCoin,Scrypt,TRUE,PoW/PoS,0,2000000
HZT,HazMatCoin,Scrypt,TRUE,PoW/PoS,,100000000
HVC,HeavyCoin,Multiple,TRUE,PoW,,128000000
HEDGE,Hedgecoin,X13,TRUE,PoW,,33000000
HNC,Hellenic Coin,Scrypt,TRUE,PoW,,100000000
SFC,Solarflarecoin,Scrypt,TRUE,PoW,0,20000000
INFX,Infinex,Lyra2RE,TRUE,PoW,5097689.711,26280000
INN,Innova,NeoScrypt,TRUE,PoW,6375259.04,45000000
BHIRE,BitHIRE,Scrypt,FALSE,PoS,,42000000
SPA,SpainCoin,Scrypt-n,TRUE,PoW,0,50000000
INSANE,InsaneCoin,X11,TRUE,PoW/PoS,18342813,30000000
INSN,Insane Coin,X11,TRUE,PoW/PoS,23775960.32,30000000
HVCO,High Voltage Coin,SHA-256,TRUE,PoW/PoS,,1700000
IOC,IOCoin,X11,TRUE,PoW/PoS,17650913.97,22000000
IOP,Internet of People,SHA-256,TRUE,PoW/PoS,2526078.475,21000000
IRL,IrishCoin,Scrypt,TRUE,PoW,45483049.34,64000000
ITZ,Interzone,C11,TRUE,PoW,11916588.09,23000000
HONEY,Honey,Blake2S,TRUE,PoW/PoS,,7000000
IXC,IXcoin,SHA-256,TRUE,PoW,21089349,21000000
HSP,Horse Power,Scrypt,TRUE,PoW,,2900000
SSTC,SunShotCoin,X11,TRUE,PoW,0,2250000000
J,JoinCoin,Multiple,TRUE,PoW,3332922.5,2800000
HYPER,HyperCoin,Scrypt,TRUE,PoW/PoS,9631199.993,0
HYP,HyperStake,X11,TRUE,PoS,1678520091,0
JUMP,Jumpcoin,NIST5,TRUE,PoW,21069346.25,21000000
KCASH,Kcash,SHA-512,TRUE,Zero-Knowledge Proof,1000000000,1000000000
ICASH,ICASH,X11,TRUE,PoW,,1000000
ICB,IceBergCoin,NIST5,TRUE,PoW/PoS,,8750000
ICON,Iconic,PoS,TRUE,PoS,,520000
KEC,KEYCO,Tribus,TRUE,PoW,795447,18000000
KED,Klingon Empire Darsek,Scrypt,TRUE,PoW/PoS,23965372,500000000
KEK,KekCoin,POS 2.0,TRUE,PoS,12330806.31,21000000
TFC,The Freedom Coin,X11,TRUE,PoS,0,25000000
THC,The Hempcoin,Scrypt,TRUE,PoW/PoS,0,300000000
KETAN,Ketan,PoS,TRUE,PoS,9327131.597,210000000
KUBOS,KubosCoin,Scrypt,FALSE,PoW/PoS,,9.87E+11
KGC,KrugerCoin,Scrypt,TRUE,PoW,151447649.8,265420800
KLC,KiloCoin,Scrypt,TRUE,PoW,196297971,10000000000
INC,Incrementum,PoS,TRUE,PoS,,1300000
KLKS,Kalkulus,Quark,TRUE,PoS,16955764.9,20000000
KMD,Komodo,Equihash,TRUE,dPoW/PoW,115898131,200000000
KOBO,KoboCoin,X15,TRUE,PoW/PoS,25542535.59,350000000
KORE,Kore,X13,TRUE,PoW/PoS,2022464.887,12000000
KRB,Karbo,CryptoNight,TRUE,PoW,7822432.724,10000000
KREDS,KREDS,Lyra2REv2,TRUE,PoW,643795911.5,1100000000
KRONE,Kronecoin,Scrypt,TRUE,PoW,17453749.4,84000000
TRAID,Traid,NeoScrypt,TRUE,PoW/PoS,0,252000000
WOLF,Insanity Coin,X11,TRUE,PoW,,50000000
MINE,Instamine Nuggets,Scrypt,TRUE,PoW,,21649485
KURT,Kurrent,X11,TRUE,PoW,61364813,228000000
KUSH,KushCoin,X11,TRUE,PoW/PoS,5659096.957,9354000
LANA,LanaCoin,SHA-256D,TRUE,PoW/PoS,1082162636,7506000000
LC,Lutetium Coin,X11,TRUE,PoS,657000000,657000000
TRUMP,TrumpCoin,Blake,TRUE,PoS,0,12000000
ISL,IslaCoin,X11,TRUE,PoW/PoS,1513704,0
IEC,IvugeoEvolutionCoin,Scrypt,TRUE,PoW,,100000000
IW,iWallet,X11,TRUE,PoW/PoS,,2142857143
LCC,LitecoinCash,SHA-256 + Hive,TRUE,PoW + Hive,638382332.2,840000000
JANE,JaneCoin,X11,TRUE,PoW/PoS,,2100000000
JIF,JiffyCoin,SHA-256D,TRUE,PoW,,5108400
JOBS,JobsCoin,X11,TRUE,PoW/PoS,,20000000000
LCP,Litecoin Plus,Scrypt,TRUE,PoW/PoS,2504486.228,4000000
ULTC,Umbrella,SHA-256,TRUE,PoW,0,2625000
UNAT,Unattanium,SHA-256,TRUE,PoW,0,0
JOK,JokerCoin,Scrypt,TRUE,PoW/PoS,,5000000000
LDOGE,LiteDoge,Scrypt,TRUE,PoW/PoS,15318887081,35000000000
LINDA,Linda,Scrypt,TRUE,PoW/PoS,9044930943,50000000000
JKC,JunkCoin,Scrypt,TRUE,PoW,,107000000
JMC,Junson Ming Chan Coin,X11,TRUE,PoS,17209923728,0
UNIT,Universal Currency,SHA-256,TRUE,PoW/PoS,0,210000000
LINX,Linx,Scrypt,TRUE,PoW,33716526,100000000
UNI,Universe,Scrypt,TRUE,PoS,0,112000000
KAPU,Kapu,DPoS,TRUE,DPoS,,115000000
ANTC,AntiLitecoin,Scrypt,FALSE,PoW,,84000000
LIR,Let it Ride,POS 3.0,TRUE,PoS,38589808.67,33500000
UTIL,Utility Coin,X13,TRUE,PoW/PoS,0,0
UWC,Uwezocoin,Scrypt,FALSE,PoW,0,840000000
VAL,Valorbit,Scrypt,TRUE,PoW/PoS,0,9.22E+16
KRM,Karma,Groestl,TRUE,PoS,,3000000000
KATZ,KATZcoin,SHA-256D,TRUE,PoW/PoS,,100000000
LIT,Lithium,Blake,TRUE,PoW,15846721.25,25228800
LKY,LuckyCoin,Scrypt,TRUE,PoW,19326319.14,20000000
LMC,LomoCoin,Scrypt,TRUE,PoW/PoS,500000,1000000000
LOKI,Loki,CryptoNight Heavy,TRUE,PoW,19153632,150000000
VDL,Vidulum,Equihash1927,TRUE,PoW,0,100000000
VIOR,ViorCoin,Scrypt,TRUE,PoW/PoS,0,0
LOT,LottoCoin,Scrypt,TRUE,PoW,14491014421,18406979840
LSK,Lisk,DPoS,TRUE,DPoS,120012140,159918400
KDC,Klondike Coin,Scrypt,TRUE,PoW,,20000000
VTA,VirtaCoin,Scrypt,TRUE,PoW,0,21000000000
LTB,Litebar ,Scrypt,TRUE,PoW,1104344.229,1350000
LTC,Litecoin,Scrypt,TRUE,PoW,63039243.3,84000000
LTCR,LiteCreed,QuBit,TRUE,PoW/PoS,30227750,78835200
KRAK,Kraken,SHA-256,TRUE,PoW/PoS,,20 000 000
LTCU,LiteCoin Ultra,Scrypt,TRUE,PoW/PoS,8419402.321,150000000
VOOT,VootCoin,X11,TRUE,PoW,0,0
LTHN,Lethean,CryptoNight-V7,TRUE,PoW,441250233.4,999481516
LUX,LUXCoin,PHI1612,TRUE,PoW/PoS,8305775.318,60000000
MTLM3,Metal Music v3,Scrypt,FALSE,PoW/PoS,,2500000000
WAY,WayCoin,X11,TRUE,PoS,0,100000000
LYNX,Lynx,Scrypt,TRUE,HPoW,77872059788,92000000000
MAG,Magnet,X11,TRUE,PoW/PoS,38198594.83,144000000
KZC,KZCash,X11,TRUE,PoW,,18000000
MARS,MarsCoin ,X11,TRUE,PoW,32221574.82,33000000
MAX,MaxCoin,SHA3,TRUE,PoW/PoS,61445805,100000000
LAZ,Lazarus,DPoS,TRUE,DPoS,,10000000
LELE,Lelecoin,Curve25519,TRUE,PoS,,1000000000
LENIN,LeninCoin,SHA-256D,TRUE,PoW,,100000000
XCASH,X-CASH,CryptoNight Heavy X,TRUE,PoW,0,1.00E+11
LEPEN,LePenCoin,SHA-256,TRUE,PoS,,1000000000
MAY,Theresa May Coin,SHA-256,TRUE,PoW/PoS,92050800,100000000
MBC,My Big Coin,Scrypt,TRUE,PoW and PoS,9399342.528,30000000
MCRN,MacronCoin,PoS,TRUE,PoS,401421401,400000000
LGBTQ,LGBTQoin,X11,TRUE,PoW,,50000000
XLB,LibertyCoin,X11,TRUE,PoW/PoS,,16500000
LTPC,Lightpaycoin,Quark,TRUE,PoS,,21000000
XXX,XXXCoin,Scrypt,TRUE,PoW/PoS,0,50000000
LSD,LightSpeedCoin,NIST5,TRUE,PoW/PoS,,900000
LTD,Limited Coin,PoS,TRUE,PoS,,128
MCT,1717 Masonic Commemorative Token,Ethash,TRUE,PoS,1618033,1618033
MEC,MegaCoin,Scrypt,TRUE,PoW,38151999.99,42000000
MED,MediterraneanCoin,HybridScryptHash256,TRUE,PoW,40431856.9,200000000
MEDIC,MedicCoin,Scrypt,TRUE,PoS,267297676.3,500000000
MGD,MassGrid,Jump Consistent Hash,TRUE,PoW,135862416,168000000
MI,XiaoMiCoin,Scrypt,TRUE,PoW/PoS,404316475.5,400000000
MINC,MinCoin,Scrypt,TRUE,PoW,5804204.888,10000000
ZEL,Zelcash,Equihash,TRUE,PoW/PoS,0,210000000
MMO,MMOCoin,Scrypt,TRUE,PoS,107763867.9,260000000
LTCP,LitecoinPro,Scrypt,TRUE,PoW,,17500000
LTCX,LitecoinX,X11,TRUE,PoW,,84000000
LTZ,Litecoinz,Equihash,TRUE,PoW,,84000000
MND,MindCoin,X11,TRUE,PoW,15867695,16000000
MONA,MonaCoin,Scrypt,TRUE,PoW,68194674.87,105120000
LTS,Litestar Coin,X11,TRUE,PoW/PoS,,120000000
MONEY,MoneyCoin,Scrypt,TRUE,PoW/PoS,10914418,650659833
LIV,LiviaCoin,Scrypt,TRUE,PoW/PoS,,1572000000
LWF,Local World Forwarders,DPoS,TRUE,DPoS,,100000000
MONK,Monkey Project,X11,TRUE,PoS,4407252,21000000
MOON,MoonCoin,Scrypt,TRUE,PoW,88,3.84E+11
LOOK,LookCoin,X11,TRUE,PoW/PoS,,1613150000
MSC,MasterCoin,Scrypt,TRUE,PoW,619478,619478
LK7,Lucky7Coin,Scrypt,TRUE,PoW/PoS,,99792000
LUCKY,LuckyBlocks,PoS,TRUE,PoS,,20000000
MST,MustangCoin,X11,TRUE,PoW/PoS,657636.3455,3000000
LUNES,Lunes,Leased POS,TRUE,LPoS,,150728537.6
MUDRA,MudraCoin,X13,TRUE,PoS,5000000,200000000
MUN,MUNcoin,SkunkHash,TRUE,PoW,4818338.989,16600000
LYC,LycanCoin,Scrypt,TRUE,PoW,,4950000000
MUSE,Muse,DPoS,TRUE,PoS,18194936,18081806
LYB,LyraBar,Lyra2RE,TRUE,PoW/PoS,,0
LYTX,LYTIX,QuarkTX,TRUE,PoW/PoS,,100000000
MAC,MachineCoin,Time Travel,TRUE,PoW,,35000000
MZC,MazaCoin,SHA-256,TRUE,PoW/PoS,1613836100,2419200000
MADC,MadCoin,Scrypt,TRUE,PoW,,10000000
NAMO,NamoCoin,NIST5,TRUE,PoW/PoS,560563220,1200000000
MNTC,Manet Coin,Scrypt,TRUE,PoW/PoS,,215000000
NANO,Nano,Blake2b,TRUE,PoW,133248297,340282367
MXT,MartexCoin,X13,TRUE, PoW/PoS,,5000000
MARV,Marvelous,Scrypt,TRUE,PoW,,400000000
MSR,Masari,CryptoNight,TRUE,PoW,,18500000
NAUT,Nautilus Coin,Scrypt,TRUE,PoS,16180000,16180000
MCAR,MasterCar,Scrypt,TRUE,PoW/PoS,,2991837
NBR,Niobio Cash,CryptoNight,TRUE,PoW,133932467.8,336000000
MM,MasterMint,X11,TRUE,PoS,,1500000000
NCP,Newton Coin,CryptoNight,TRUE,PoW,41294520017,1.84E+11
MYC,MayaCoin,Scrypt,TRUE,PoW/PoS,,250000000
BMXT,Bitmxittz,Scrypt,FALSE,PoW/PoS,,10000
NEBU,Nebuchadnezzar,PoS,TRUE,PoS,20000000,20000000
MBIT,Mbitbooks,Scrypt,TRUE,PoW,,81000000
NEOS,NeosCoin,SHA-256,TRUE,PoS,4392258.246,21000000
MDC,MedicCoin,Scrypt,TRUE,PoW/PoS,,33000000
NKA,IncaKoin,SHA-256,TRUE,PoW/PoS,17939725045,190000000
MPRO,MediumProject,PoS,TRUE,PoW,,250000
NLG,Gulden,Scrypt,TRUE,PoW,415032420,1680000000
XMS,Megastake,X11,TRUE,PoW/PoS,,0
MLITE,MeLite,SHA-256D,TRUE,PoW/PoS,,1.000.000
MMC,MemoryCoin,Multiple,TRUE,PoW,,10000000
METAL,MetalCoin,Scrypt,TRUE,PoW,,0
MBTC,MicroBitcoin,Rainforest,TRUE,PoW,,2.10E+11
MUU,MilkCoin,SHA-256,TRUE,PoW/PoS ,,4500000000
NMC,Namecoin,SHA-256,TRUE,PoW,14736400,21000000
MG,Mind Gene,SHA-256,TRUE,PoW/PoS,,7500000000
NOBL,NobleCoin,Scrypt,TRUE,PoW,2366066306,15000000000
MNM,Mineum,X13,TRUE,PoW/PoS,,10000000
MINT,MintCoin,Scrypt,TRUE,PoS,21293925445,0
MIODIO,MIODIOCOIN,Scrypt,TRUE,PoW,,80000000
MIS,MIScoin,X11,TRUE,PoW/PoS,,25000000
WSC,WiserCoin,Scrypt,FALSE,PoW,,22105263
NOTE,Dnotes,Scrypt,TRUE,PoS,174646113.9,500000000
ZND,Zenad,Quark,TRUE,POS / MN,0,46000000
KNGN,KingN Coin,Scrypt,FALSE,PoW/PoS,,420000
TAB,MollyCoin,Scrypt,TRUE,PoW/PoS,,25000000
NSD,Nasdacoin,Scrypt,TRUE,PoW/PoS,20546528.21,84000000
MNZ,Monaize,Equihash,TRUE,PoW/DPoW,,257142857
XMR,Monero,CryptoNight-V7,TRUE,PoW,17201143.14,0
BOXY,BoxyCoin,Scrypt,FALSE,PoW,5761512.81,100000000
NTRN,Neutron,SHA-256,TRUE,PoW/PoS,39121694,68000000
XMV,MoneroV,CryptoNight,TRUE,PoW,,256000000
MONETA,Moneta,Scrypt,TRUE,PoW,,184000000
ACCO,Accolade,Scrypt,FALSE,PoW/PoS,5573908,50000000
NXS,Nexus,SHA3,TRUE,PoW/nPoS,63657220,78000000
NXT,Nxt,PoS,TRUE,PoS/LPoS,1000000000,1000000000
OMGC,OmiseGO Classic,Scrypt,FALSE,PoW/PoS,49933217.75,70000000
NYAN,NyanCoin,Scrypt,TRUE,PoW,334709223.5,337000000
NZL,Zealium,PoS,TRUE,PoS,11075254.09,80000000
MRP,MorpheusCoin,X11,TRUE,PoW,,3400000
ECC,ECC,Scrypt,FALSE,PoS,25000000000,25000000000
OC,OrangeCoin,Scrypt,TRUE,PoW/PoS,3537150,200000000
